lat,lng,pop,uap,uap_c,nuc,mag,coastal,uso,layers,nat_rad_dist_km,anc,mag_gradient,uap_corrected,uso_corrected,has_incident_binary,is_high_mag,is_high_nuc
-84.5,-92.5,1.044831302325143e-06,0.0,1.044831302325143e-05,0.0,0.0,0.0003085406248522,0.0,0,4313.246909715001,0.0,0.0,0.0,0.0,0,0,0
-84.5,-91.5,1.278426770331159e-06,0.0,1.278426770331159e-05,0.0,0.0,0.0003041318760617,0.0,0,4309.273860285587,0.0,0.0,0.0,0.0,0,0,0
-84.5,-90.5,1.5573119239471758e-06,0.0,1.557311923947176e-05,0.0,0.0,0.0002996295849003,0.0,0,4305.492539542925,0.0,0.0,0.0,0.0,0,0,0
-84.5,-89.5,1.8886234475400587e-06,0.0,1.8886234475400588e-05,0.0,0.0,0.0002950406515195,0.0,0,4301.904525220037,0.0,0.0,0.0,0.0,0,0,0
-84.5,-88.5,2.280263926255281e-06,0.0,2.280263926255281e-05,0.0,0.0,0.0002903719898807,0.0,0,4298.511318245724,0.0,0.0,0.0,0.0,0,0,0
-84.5,-87.5,2.740910107620647e-06,0.0,2.740910107620647e-05,0.0,0.0,0.0002856305097099,0.0,0,4295.314341523716,0.0,0.0,0.0,0.0,0,0,0
-84.5,-86.5,3.2800040223366794e-06,0.0,3.28000402233668e-05,0.0,0.0,0.0002808230989394,0.0,0,4292.314938766711,0.0,0.0,0.0,0.0,0,0,0
-84.5,-85.5,3.907723677667381e-06,0.0,3.907723677667381e-05,0.0,0.0,0.0002759566067002,0.0,0,4289.514373387592,0.0,0.0,0.0,0.0,0,0,0
-84.5,-84.5,4.634930060529766e-06,0.0,4.634930060529767e-05,0.0,0.0,0.0002710378269182,0.0,0,4286.913827450087,0.0,0.0,0.0,0.0,0,0,0
-84.5,-83.5,5.4730873423752544e-06,0.0,5.473087342375255e-05,0.0,0.0,0.0002660734825671,0.0,0,4284.5144006809405,0.0,0.0,0.0,0.0,0,0,0
-84.5,-82.5,6.434153483591874e-06,0.0,6.434153483591873e-05,0.0,0.0,0.0002610702106227,0.0,0,4282.317109545675,0.0,0.0,0.0,0.0,0,0,0
-84.5,-81.5,7.530438907277362e-06,0.0,7.530438907277363e-05,0.0,0.0,0.0002560345477592,0.0,0,4280.322886389789,0.0,0.0,0.0,0.0,0,0,0
-84.5,-80.5,8.7744315616823e-06,0.0,8.774431561682299e-05,0.0,0.0,0.0002509729168232,0.0,0,4278.532578647232,0.0,0.0,0.0,0.0,0,0,0
-84.5,-79.5,1.017858752172587e-05,0.0,0.0001017858752172,0.0,0.0,0.0002458916141146,0.0,0,4276.946948117765,0.0,0.0,0.0,0.0,0,0,0
-84.5,-78.5,1.1755087289140104e-05,0.0,0.0001175508728914,0.0,0.0,0.0002407967974986,0.0,0,4275.566670314766,0.0,0.0,0.0,0.0,0,0,0
-84.5,-77.5,1.3515559125243157e-05,0.0,0.0001351555912524,0.0,0.0,0.000236413662984,0.0,0,4274.39233388486,0.0,0.0,0.0,0.0,0,0,0
-84.5,-76.5,1.547077206726524e-05,0.0,0.0001547077206726,0.0,0.0,0.0002367915108399,0.0,0,4273.424440100584,0.0,0.0,0.0,0.0,0,0,0
-84.5,-75.5,1.7630302705197716e-05,0.0,0.0001763030270519,0.0,0.0,0.0002370437850834,0.0,0,4272.6634024272125,0.0,0.0,0.0,0.0,0,0,0
-84.5,-74.5,2.000218128744746e-05,0.0,0.0002000218128744,0.0,0.0,0.0002371700350574,0.0,0,4272.109546164652,0.0,0.0,0.0,0.0,0,0,0
-84.5,-73.5,2.259252422643884e-05,0.0,0.0002259252422643,0.0,0.0,0.0002371700350574,0.0,0,4271.763108165183,0.0,0.0,0.0,0.0,0,0,0
-84.5,-72.5,2.5405161527431386e-05,0.0,0.0002540516152743,0.0,0.0,0.0002370437850834,0.0,0,4271.624236627663,0.0,0.0,0.0,0.0,0,0,0
-84.5,-71.5,2.8441268996362024e-05,0.0,0.0002844126899636,0.0,0.0,0.0002367915108399,0.0,0,4271.692990968648,0.0,0.0,0.0,0.0,0,0,0
-84.5,-70.5,3.169901622267178e-05,0.0,0.0003169901622267,0.0,0.0,0.000236413662984,0.0,0,4271.969341770676,0.0,0.0,0.0,0.0,0,0,0
-84.5,-69.5,3.517324220732841e-05,0.0,0.0003517324220732,0.0,0.0,0.0002359109156255,0.0,0,4272.453170807882,0.0,0.0,0.0,0.0,0,0,0
-84.5,-68.5,3.885517104408223e-05,0.0,0.0003885517104408,0.0,0.0,0.000235284164087,0.0,0,4273.144271148831,0.0,0.0,0.0,0.0,0,0,0
-84.5,-67.5,4.273218019985353e-05,0.0,0.0004273218019985,0.0,0.0,0.0002345345219355,0.0,0,4274.042347336384,0.0,0.0,0.0,0.0,0,0,0
-84.5,-66.5,4.678763362561903e-05,0.0,0.0004678763362561,0.0,0.0,0.0002336633173002,0.0,0,4275.147015644197,0.0,0.0,0.0,0.0,0,0,0
-84.5,-65.5,5.100079112489995e-05,0.0,0.0005100079112489,0.0,0.0,0.0002326720884968,0.0,0,4276.457804409281,0.0,0.0,0.0,0.0,0,0,0
-84.5,-64.5,5.534680409428946e-05,0.0,0.0005534680409428,0.0,0.0,0.00023156257898,0.0,0,4277.974154439933,0.0,0.0,0.0,0.0,0,0,0
-84.5,-63.5,5.979680593235607e-05,0.0,0.0005979680593235,0.0,0.0,0.0002303367316494,0.0,0,4279.695419498125,0.0,0.0,0.0,0.0,0,0,0
-84.5,-62.5,6.431810311635695e-05,0.0,0.0006431810311635,0.0,0.0,0.0002289966825388,0.0,0,4281.620866855351,0.0,0.0,0.0,0.0,0,0,0
-84.5,-61.5,6.887447022173859e-05,0.0,0.0006887447022173,0.0,0.0,0.0002275447539205,0.0,0,4283.749677920709,0.0,0.0,0.0,0.0,0,0,0
-84.5,-60.5,7.34265490829466e-05,0.0,0.0007342654908294,0.0,0.0,0.0002259834468583,0.0,0,4286.080948939911,0.0,0.0,0.0,0.0,0,0,0
-84.5,-59.5,7.793234896370912e-05,0.0,0.000779323489637,0.0,0.0,0.0002243154332475,0.0,0,4288.613691763729,0.0,0.0,0.0,0.0,0,0,0
